Transaction_id	Date	Day	Bulan	Year	Product_id	Product_Name	Category	Qty	Leftovers	Day_old	Distributor_Price	Selling_Price	Day_Old_Price	Sold_Normal_Qty	Sold_Day_Old	Total_Sold	Final_Balance	Revenue	Cost_Day_Old	COGS	Total_Profit	Sell_Through_Rate
TRX008886	8/24/2023	Kamis	Aug	2023	S010	Bakwan	Sayur & Lauk	24	5	0	1000	2000	0	19	0	19	5	38000	0	19000	19000	0.79
TRX007397	8/24/2023	Kamis	Aug	2023	K014	Gabin	Kue	18	5	0	2000	2500	0	13	0	13	5	32500	0	26000	6500	0.72
TRX003694	8/24/2023	Kamis	Aug	2023	K025	Martabak	Kue	17	7	0	2500	3000	0	10	0	10	7	30000	0	25000	5000	0.59
TRX006672	8/24/2023	Kamis	Aug	2023	N009	Nasi Cokot	Nasi	16	3	0	5000	6000	0	13	0	13	3	78000	0	65000	13000	0.81
TRX005568	8/24/2023	Kamis	Aug	2023	N001	Nasi Gudeg	Nasi	7	1	1	10000	11000	3500	6	1	7	0	69500	3500	60000	13000	1.00
TRX006708	8/24/2023	Kamis	Aug	2023	K001	Pastel	Kue	22	1	1	2500	3000	1500	21	1	22	0	64500	1500	52500	13500	1.00
TRX007912	8/24/2023	Kamis	Aug	2023	S002	Sop	Sayur & Lauk	19	3	0	7000	8000	0	16	0	16	3	128000	0	112000	16000	0.84
TRX009494	8/24/2023	Kamis	Aug	2023	S003	Sop Merah	Sayur & Lauk	24	7	7	11500	12500	5000	17	7	24	0	247500	35000	195500	87000	1.00
TRX001843	8/24/2023	Kamis	Aug	2023	K005	Tusuk	Kue	27	7	0	2500	3000	0	20	0	20	7	60000	0	50000	10000	0.74
TRX004387	8/25/2023	Jumat	Aug	2023	S010	Bakwan	Sayur & Lauk	10	0	0	1000	2000	0	10	0	10	0	20000	0	10000	10000	1.00
TRX008440	8/25/2023	Jumat	Aug	2023	K012	Kroket	Kue	29	5	0	2000	2500	0	24	0	24	5	60000	0	48000	12000	0.83
TRX001784	8/25/2023	Jumat	Aug	2023	N006	Nasi Campur	Nasi	28	6	1	6000	7000	3500	22	1	23	5	157500	3500	132000	29000	0.82
TRX002642	8/25/2023	Jumat	Aug	2023	K018	Pukis	Kue	34	4	3	2000	2500	1500	30	3	33	1	79500	4500	60000	24000	0.97
TRX001965	8/25/2023	Jumat	Aug	2023	K021	Sawut	Kue	10	1	0	2500	3000	0	9	0	9	1	27000	0	22500	4500	0.90
TRX004040	8/25/2023	Jumat	Aug	2023	K030	Tahu Brontak	Kue	18	3	0	1500	2000	0	15	0	15	3	30000	0	22500	7500	0.83
TRX002428	8/25/2023	Jumat	Aug	2023	S006	Tewel	Sayur & Lauk	26	3	0	7000	8000	0	23	0	23	3	184000	0	161000	23000	0.88
TRX000425	8/26/2023	Sabtu	Aug	2023	N002	Ayam Teriyaki	Nasi	24	1	0	10000	11000	0	23	0	23	1	253000	0	230000	23000	0.96
TRX008389	8/26/2023	Sabtu	Aug	2023	K006	Bakpao Kacang Tanah	Kue	29	2	1	2500	3000	1500	27	1	28	1	82500	1500	67500	16500	0.97
TRX009736	8/26/2023	Sabtu	Aug	2023	K022	Otok-Otok	Kue	31	3	0	2500	3000	0	28	0	28	3	84000	0	70000	14000	0.90
TRX003076	8/26/2023	Sabtu	Aug	2023	S009	Perkedel	Sayur & Lauk	35	3	2	6000	7000	5000	32	2	34	1	234000	10000	192000	52000	0.97
TRX002754	8/26/2023	Sabtu	Aug	2023	S013	Sambel Goreng Kentang	Sayur & Lauk	18	1	0	10000	11000	0	17	0	17	1	187000	0	170000	17000	0.94
TRX002231	8/26/2023	Sabtu	Aug	2023	K016	Tahu Bakso	Kue	30	2	0	2500	3000	0	28	0	28	2	84000	0	70000	14000	0.93
TRX004418	8/26/2023	Sabtu	Aug	2023	K016	Tahu Bakso	Kue	35	4	3	2500	3000	1500	31	3	34	1	97500	4500	77500	24500	0.97
TRX001010	8/27/2023	Minggu	Aug	2023	K015	Lumpia Rebung	Kue	13	0	0	3000	3500	0	13	0	13	0	45500	0	39000	6500	1.00
TRX007059	8/27/2023	Minggu	Aug	2023	K010	Mendut	Kue	32	1	0	2000	2500	0	31	0	31	1	77500	0	62000	15500	0.97
TRX007926	8/27/2023	Minggu	Aug	2023	K010	Mendut	Kue	15	2	0	2000	2500	0	13	0	13	2	32500	0	26000	6500	0.87
TRX008756	8/27/2023	Minggu	Aug	2023	K010	Mendut	Kue	22	5	0	2000	2500	0	17	0	17	5	42500	0	34000	8500	0.77
TRX004050	8/27/2023	Minggu	Aug	2023	N009	Nasi Cokot	Nasi	6	1	0	5000	6000	0	5	0	5	1	30000	0	25000	5000	0.83
TRX005737	8/27/2023	Minggu	Aug	2023	S009	Perkedel	Sayur & Lauk	27	1	0	6000	7000	0	26	0	26	1	182000	0	156000	26000	0.96
TRX008238	8/27/2023	Minggu	Aug	2023	K028	Pizza	Kue	13	1	0	4500	5000	0	12	0	12	1	60000	0	54000	6000	0.92
TRX008122	8/27/2023	Minggu	Aug	2023	S001	Sayur Bayam	Sayur & Lauk	37	1	1	5000	6000	5000	36	1	37	0	221000	5000	180000	46000	1.00
TRX007649	8/27/2023	Minggu	Aug	2023	K027	Talam	Kue	19	1	0	1500	2000	0	18	0	18	1	36000	0	27000	9000	0.95
TRX007372	8/27/2023	Minggu	Aug	2023	S006	Tewel	Sayur & Lauk	17	0	0	7000	8000	0	17	0	17	0	136000	0	119000	17000	1.00
TRX004777	8/27/2023	Minggu	Aug	2023	K005	Tusuk	Kue	35	0	0	2500	3000	0	35	0	35	0	105000	0	87500	17500	1.00
TRX006375	8/28/2023	Senin	Aug	2023	S010	Bakwan	Sayur & Lauk	14	3	0	1000	2000	0	11	0	11	3	22000	0	11000	11000	0.79
TRX009443	8/28/2023	Senin	Aug	2023	K017	Brownis	Kue	27	5	0	4500	5000	0	22	0	22	5	110000	0	99000	11000	0.81
TRX009721	8/28/2023	Senin	Aug	2023	N006	Nasi Campur	Nasi	15	6	4	6000	7000	3500	9	4	13	2	77000	14000	54000	37000	0.87
TRX001484	8/28/2023	Senin	Aug	2023	K022	Otok-Otok	Kue	10	4	2	2500	3000	1500	6	2	8	2	21000	3000	15000	9000	0.80
TRX009662	8/28/2023	Senin	Aug	2023	K021	Sawut	Kue	22	7	0	2500	3000	0	15	0	15	7	45000	0	37500	7500	0.68
TRX006069	8/28/2023	Senin	Aug	2023	N008	Siomay	Nasi	5	0	0	9000	10000	0	5	0	5	0	50000	0	45000	5000	1.00
TRX007941	8/28/2023	Senin	Aug	2023	S002	Sop	Sayur & Lauk	17	6	0	7000	8000	0	11	0	11	6	88000	0	77000	11000	0.65
TRX003720	8/28/2023	Senin	Aug	2023	K026	Terang Bulan	Kue	14	4	0	1500	2000	0	10	0	10	4	20000	0	15000	5000	0.71
TRX006122	8/28/2023	Senin	Aug	2023	K005	Tusuk	Kue	11	3	1	2500	3000	1500	8	1	9	2	25500	1500	20000	7000	0.82
TRX005136	8/28/2023	Senin	Aug	2023	K002	Weci	Kue	35	7	0	1500	2000	0	28	0	28	7	56000	0	42000	14000	0.80
TRX002460	8/29/2023	Selasa	Aug	2023	N002	Ayam Teriyaki	Nasi	16	5	5	10000	11000	3500	11	5	16	0	138500	17500	110000	46000	1.00
TRX005706	8/29/2023	Selasa	Aug	2023	K007	Piscok	Kue	46	9	0	2000	2500	0	37	0	37	9	92500	0	74000	18500	0.80
TRX003281	8/29/2023	Selasa	Aug	2023	S002	Sop	Sayur & Lauk	30	7	3	7000	8000	5000	23	3	26	4	199000	15000	161000	53000	0.87
TRX004231	8/30/2023	Rabu	Aug	2023	S010	Bakwan	Sayur & Lauk	14	2	0	1000	2000	0	12	0	12	2	24000	0	12000	12000	0.86
TRX003650	8/30/2023	Rabu	Aug	2023	S004	Bali	Sayur & Lauk	17	5	3	10000	11000	5000	12	3	15	2	147000	15000	120000	42000	0.88
TRX006832	8/30/2023	Rabu	Aug	2023	S004	Bali	Sayur & Lauk	9	2	0	10000	11000	0	7	0	7	2	77000	0	70000	7000	0.78
TRX006676	8/30/2023	Rabu	Aug	2023	K007	Piscok	Kue	33	8	2	2000	2500	1500	25	2	27	6	65500	3000	50000	18500	0.82
TRX009756	8/30/2023	Rabu	Aug	2023	K008	Risol Mayo	Kue	36	8	0	4000	4500	0	28	0	28	8	126000	0	112000	14000	0.78
TRX002608	8/30/2023	Rabu	Aug	2023	S005	Sayur Asem	Sayur & Lauk	25	12	7	6000	7000	5000	13	7	20	5	126000	35000	78000	83000	0.80
TRX007684	8/30/2023	Rabu	Aug	2023	N008	Siomay	Nasi	19	2	2	9000	10000	3500	17	2	19	0	177000	7000	153000	31000	1.00
TRX007329	8/30/2023	Rabu	Aug	2023	S011	Tempe Tahu Bacem	Sayur & Lauk	29	6	0	6000	7000	0	23	0	23	6	161000	0	138000	23000	0.79
TRX000396	8/31/2023	Kamis	Aug	2023	N004	Ayam Bakar	Nasi	9	3	0	9000	10000	0	6	0	6	3	60000	0	54000	6000	0.67
TRX002656	8/31/2023	Kamis	Aug	2023	K006	Bakpao Kacang Tanah	Kue	25	7	6	2500	3000	1500	18	6	24	1	63000	9000	45000	27000	0.96
TRX000017	8/31/2023	Kamis	Aug	2023	K024	Dadar Gulung	Kue	7	3	0	2500	3000	0	4	0	4	3	12000	0	10000	2000	0.57
TRX004116	8/31/2023	Kamis	Aug	2023	K022	Otok-Otok	Kue	15	4	4	2500	3000	1500	11	4	15	0	39000	6000	27500	17500	1.00
TRX005096	8/31/2023	Kamis	Aug	2023	K001	Pastel	Kue	32	7	5	2500	3000	1500	25	5	30	2	82500	7500	62500	27500	0.94
TRX006082	8/31/2023	Kamis	Aug	2023	K029	Roti Boy	Kue	26	6	6	2500	3000	1500	20	6	26	0	69000	9000	50000	28000	1.00
TRX005092	8/31/2023	Kamis	Aug	2023	K021	Sawut	Kue	11	3	0	2500	3000	0	8	0	8	3	24000	0	20000	4000	0.73
TRX000786	8/31/2023	Kamis	Aug	2023	S005	Sayur Asem	Sayur & Lauk	8	0	0	6000	7000	0	8	0	8	0	56000	0	48000	8000	1.00
TRX009880	8/31/2023	Kamis	Aug	2023	S005	Sayur Asem	Sayur & Lauk	27	7	0	6000	7000	0	20	0	20	7	140000	0	120000	20000	0.74
TRX001087	8/31/2023	Kamis	Aug	2023	S001	Sayur Bayam	Sayur & Lauk	35	11	8	5000	6000	5000	24	8	32	3	184000	40000	120000	104000	0.91
TRX006181	8/31/2023	Kamis	Aug	2023	S001	Sayur Bayam	Sayur & Lauk	29	7	6	5000	6000	5000	22	6	28	1	162000	30000	110000	82000	0.97
TRX000111	9/1/2023	Jumat	Sep	2023	N003	Ayam Geprek	Nasi	27	5	0	9000	10000	0	22	0	22	5	220000	0	198000	22000	0.81
TRX008957	9/1/2023	Jumat	Sep	2023	S008	Kare Ayam	Sayur & Lauk	14	3	0	10000	11000	0	11	0	11	3	121000	0	110000	11000	0.79
TRX009315	9/1/2023	Jumat	Sep	2023	K010	Mendut	Kue	14	2	0	2000	2500	0	12	0	12	2	30000	0	24000	6000	0.86
TRX004286	9/1/2023	Jumat	Sep	2023	N006	Nasi Campur	Nasi	20	2	0	6000	7000	0	18	0	18	2	126000	0	108000	18000	0.90
TRX007428	9/1/2023	Jumat	Sep	2023	K001	Pastel	Kue	46	4	2	2500	3000	1500	42	2	44	2	129000	3000	105000	27000	0.96
TRX004900	9/1/2023	Jumat	Sep	2023	K018	Pukis	Kue	18	0	0	2000	2500	0	18	0	18	0	45000	0	36000	9000	1.00
TRX002668	9/1/2023	Jumat	Sep	2023	K021	Sawut	Kue	17	4	2	2500	3000	1500	13	2	15	2	42000	3000	32500	12500	0.88
TRX008509	9/1/2023	Jumat	Sep	2023	N008	Siomay	Nasi	13	1	1	9000	10000	3500	12	1	13	0	123500	3500	108000	19000	1.00
TRX005862	9/1/2023	Jumat	Sep	2023	S002	Sop	Sayur & Lauk	10	1	0	7000	8000	0	9	0	9	1	72000	0	63000	9000	0.90
TRX001075	9/1/2023	Jumat	Sep	2023	K016	Tahu Bakso	Kue	22	6	3	2500	3000	1500	16	3	19	3	52500	4500	40000	17000	0.86
TRX004010	9/1/2023	Jumat	Sep	2023	K002	Weci	Kue	38	7	0	1500	2000	0	31	0	31	7	62000	0	46500	15500	0.82
TRX002859	9/2/2023	Sabtu	Sep	2023	K015	Lumpia Rebung	Kue	25	0	0	3000	3500	0	25	0	25	0	87500	0	75000	12500	1.00
TRX008851	9/2/2023	Sabtu	Sep	2023	N006	Nasi Campur	Nasi	33	2	0	6000	7000	0	31	0	31	2	217000	0	186000	31000	0.94
TRX001434	9/2/2023	Sabtu	Sep	2023	N009	Nasi Cokot	Nasi	19	3	2	5000	6000	3500	16	2	18	1	103000	7000	80000	30000	0.95
TRX008441	9/2/2023	Sabtu	Sep	2023	K028	Pizza	Kue	12	0	0	4500	5000	0	12	0	12	0	60000	0	54000	6000	1.00
TRX009536	9/2/2023	Sabtu	Sep	2023	K008	Risol Mayo	Kue	24	2	0	4000	4500	0	22	0	22	2	99000	0	88000	11000	0.92
TRX005919	9/2/2023	Sabtu	Sep	2023	S013	Sambel Goreng Kentang	Sayur & Lauk	11	0	0	10000	11000	0	11	0	11	0	121000	0	110000	11000	1.00
TRX005167	9/2/2023	Sabtu	Sep	2023	K021	Sawut	Kue	30	1	1	2500	3000	1500	29	1	30	0	88500	1500	72500	17500	1.00
TRX001251	9/2/2023	Sabtu	Sep	2023	S011	Tempe Tahu Bacem	Sayur & Lauk	41	2	0	6000	7000	0	39	0	39	2	273000	0	234000	39000	0.95
TRX009968	9/2/2023	Sabtu	Sep	2023	S011	Tempe Tahu Bacem	Sayur & Lauk	28	2	0	6000	7000	0	26	0	26	2	182000	0	156000	26000	0.93
TRX008158	9/3/2023	Minggu	Sep	2023	K017	Brownis	Kue	32	0	0	4500	5000	0	32	0	32	0	160000	0	144000	16000	1.00
TRX007506	9/3/2023	Minggu	Sep	2023	K024	Dadar Gulung	Kue	19	0	0	2500	3000	0	19	0	19	0	57000	0	47500	9500	1.00
TRX001477	9/3/2023	Minggu	Sep	2023	K014	Gabin	Kue	26	2	1	2000	2500	1500	24	1	25	1	61500	1500	48000	15000	0.96
TRX000626	9/3/2023	Minggu	Sep	2023	K012	Kroket	Kue	42	2	0	2000	2500	0	40	0	40	2	100000	0	80000	20000	0.95
TRX001749	9/3/2023	Minggu	Sep	2023	K015	Lumpia Rebung	Kue	23	0	0	3000	3500	0	23	0	23	0	80500	0	69000	11500	1.00
TRX000353	9/3/2023	Minggu	Sep	2023	N006	Nasi Campur	Nasi	30	0	0	6000	7000	0	30	0	30	0	210000	0	180000	30000	1.00
TRX003806	9/3/2023	Minggu	Sep	2023	N007	Nasi Kuning	Nasi	30	2	0	6000	7000	0	28	0	28	2	196000	0	168000	28000	0.93
TRX007138	9/3/2023	Minggu	Sep	2023	K019	Ongol-Ongol	Kue	13	1	1	1500	2000	1500	12	1	13	0	25500	1500	18000	9000	1.00
TRX005464	9/3/2023	Minggu	Sep	2023	K001	Pastel	Kue	53	3	0	2500	3000	0	50	0	50	3	150000	0	125000	25000	0.94
TRX003116	9/3/2023	Minggu	Sep	2023	S005	Sayur Asem	Sayur & Lauk	17	0	0	6000	7000	0	17	0	17	0	119000	0	102000	17000	1.00
TRX007463	9/3/2023	Minggu	Sep	2023	S005	Sayur Asem	Sayur & Lauk	22	0	0	6000	7000	0	22	0	22	0	154000	0	132000	22000	1.00
TRX002839	9/3/2023	Minggu	Sep	2023	K016	Tahu Bakso	Kue	27	0	0	2500	3000	0	27	0	27	0	81000	0	67500	13500	1.00
TRX008332	9/3/2023	Minggu	Sep	2023	K027	Talam	Kue	13	1	0	1500	2000	0	12	0	12	1	24000	0	18000	6000	0.92
TRX007577	9/3/2023	Minggu	Sep	2023	S006	Tewel	Sayur & Lauk	21	3	0	7000	8000	0	18	0	18	3	144000	0	126000	18000	0.86
TRX001819	9/4/2023	Senin	Sep	2023	N004	Ayam Bakar	Nasi	8	0	0	9000	10000	0	8	0	8	0	80000	0	72000	8000	1.00
TRX002093	9/4/2023	Senin	Sep	2023	K012	Kroket	Kue	38	7	6	2000	2500	1500	31	6	37	1	86500	9000	62000	33500	0.97
TRX009599	9/4/2023	Senin	Sep	2023	K025	Martabak	Kue	16	4	0	2500	3000	0	12	0	12	4	36000	0	30000	6000	0.75
TRX004131	9/4/2023	Senin	Sep	2023	K028	Pizza	Kue	23	6	0	4500	5000	0	17	0	17	6	85000	0	76500	8500	0.74
TRX005481	9/4/2023	Senin	Sep	2023	K028	Pizza	Kue	9	3	1	4500	5000	1500	6	1	7	2	31500	1500	27000	6000	0.78
TRX007998	9/4/2023	Senin	Sep	2023	K018	Pukis	Kue	22	5	4	2000	2500	1500	17	4	21	1	48500	6000	34000	20500	0.95
TRX004055	9/4/2023	Senin	Sep	2023	K029	Roti Boy	Kue	19	7	7	2500	3000	1500	12	7	19	0	46500	10500	30000	27000	1.00
TRX004084	9/4/2023	Senin	Sep	2023	S013	Sambel Goreng Kentang	Sayur & Lauk	22	7	3	10000	11000	5000	15	3	18	4	180000	15000	150000	45000	0.82
TRX003224	9/4/2023	Senin	Sep	2023	N008	Siomay	Nasi	15	1	0	9000	10000	0	14	0	14	1	140000	0	126000	14000	0.93
TRX002061	9/4/2023	Senin	Sep	2023	K026	Terang Bulan	Kue	16	3	0	1500	2000	0	13	0	13	3	26000	0	19500	6500	0.81
TRX004493	9/5/2023	Selasa	Sep	2023	N003	Ayam Geprek	Nasi	16	3	2	9000	10000	3500	13	2	15	1	137000	7000	117000	27000	0.94
